title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Sunset Blvd.,110,Drama;Film-Noir,Billy Wilder,Charles Brackett;Billy Wilder,William Holden;Gloria Swanson;Erich von Stroheim,8.4,"171,432"
Das Leben der Anderen,137,Drama;Thriller,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,Ulrich Mühe;Martina Gedeck;Sebastian Koch,8.4,"310,394"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,Comedy,Stanley Kubrick,Terry Southern;Stanley Kubrick,Peter Sellers;George C. Scott;Sterling Hayden,8.4,"401,731"
Paths of Glory,88,Drama;War,Stanley Kubrick,Calder Willingham;Stanley Kubrick,Kirk Douglas;Ralph Meeker;Adolphe Menjou,8.4,"148,900"
The Shining,146,Drama;Horror,Stanley Kubrick,Stanley Kubrick;Stephen King,Jack Nicholson;Shelley Duvall;Danny Lloyd,8.4,"745,452"
Django Unchained,165,Drama;Western,Quentin Tarantino,Quentin Tarantino,Jamie Foxx;Christoph Waltz;Leonardo DiCaprio,8.4,"1,160,118"
WALL·E,98,Animation;Adventure;Family,Andrew Stanton,Andrew Stanton;Pete Docter,Ben Burtt;Elissa Knight;Jeff Garlin,8.4,"869,492"
Mononoke-hime,134,Animation;Adventure;Fantasy,Hayao Miyazaki,Hayao Miyazaki;Neil Gaiman,Yôji Matsuda;Yuriko Ishida;Yûko Tanaka,8.4,"280,715"
Witness for the Prosecution,116,Crime;Drama;Mystery,Billy Wilder,Billy Wilder;Agatha Christie,Tyrone Power;Marlene Dietrich;Charles Laughton,8.4,"86,220"
American Beauty,122,Drama,Sam Mendes,Alan Ball,Kevin Spacey;Annette Bening;Thora Birch,8.4,"959,952"
The Dark Knight Rises,164,Action;Thriller,Christopher Nolan,Christopher Nolan;Jonathan Nolan,Christian Bale;Tom Hardy;Anne Hathaway,8.4,"1,338,819"
Oldeuboi,120,Action;Drama;Mystery,Chan-wook Park,Garon Tsuchiya;Nobuaki Minegishi,Min-sik Choi;Ji-tae Yu;Hye-jeong Kang,8.4,"438,930"
Aliens,137,Action;Adventure;Sci-Fi,James Cameron,David Giler;James Cameron,Sigourney Weaver;Michael Biehn;Carrie Henn,8.4,"580,461"
Coco,105,Animation;Adventure;Comedy,Lee Unkrich;Adrian Molina,Jason Katz;Lee Unkrich,Anthony Gonzalez;Gael García Bernal;Benjamin Bratt,8.4,"231,053"
Once Upon a Time in America,229,Crime;Drama,Sergio Leone,Harry Grey;Leonardo Benvenuti,Robert De Niro;James Woods;Elizabeth McGovern,8.4,"265,661"
Das Boot,149,Adventure;Drama;Thriller,Wolfgang Petersen,Lothar G. Buchheim;Wolfgang Petersen,Jürgen Prochnow;Herbert Grönemeyer;Klaus Wennemann,8.4,"200,855"
Citizen Kane,119,Drama;Mystery,Orson Welles,Orson Welles;Herman J. Mankiewicz,Orson Welles;Joseph Cotten;Dorothy Comingore,8.4,"351,446"
Braveheart,178,Biography;Drama;History,Mel Gibson,Randall Wallace,Mel Gibson;Sophie Marceau;Patrick McGoohan,8.4,"864,611"
Vertigo,128,Mystery;Romance;Thriller,Alfred Hitchcock,Samuel A. Taylor;Alec Coppel,James Stewart;Kim Novak;Barbara Bel Geddes,8.3,"306,625"
North by Northwest,136,Adventure;Mystery;Thriller,Alfred Hitchcock,Ernest Lehman,Cary Grant;Eva Marie Saint;James Mason,8.3,"261,623"
Reservoir Dogs,99,Crime;Drama;Thriller,Quentin Tarantino,Quentin Tarantino,Harvey Keitel;Tim Roth;Michael Madsen,8.3,"791,598"
Star Wars: Episode VI - Return of the Jedi,131,Action;Adventure;Fantasy,Richard Marquand,George Lucas;Lawrence Kasdan,Mark Hamill;Harrison Ford;Carrie Fisher,8.3,"829,523"
Kimi no na wa.,106,Animation;Drama;Fantasy,Makoto Shinkai,Makoto Shinkai,Ryûnosuke Kamiki;Mone Kamishiraishi;Ryô Narita,8.4,"112,082"
M - Eine Stadt sucht einen Mörder,117,Crime;Mystery;Thriller,Fritz Lang,Fritz Lang;Thea von Harbou,Peter Lorre;Ellen Widmann;Inge Landgut,8.3,"121,940"
Dangal,161,Action;Biography;Drama,Nitesh Tiwari,Shreyas Jain;Piyush Gupta,Aamir Khan;Sakshi Tanwar;Fatima Sana Shaikh,8.5,"107,664"
Requiem for a Dream,102,Drama,Darren Aronofsky,Hubert Selby Jr.,Ellen Burstyn;Jared Leto;Jennifer Connelly,8.3,"676,681"
Amadeus,160,Biography;Drama;History,Milos Forman,Peter Shaffer,F. Murray Abraham;Tom Hulce;Elizabeth Berridge,8.3,"324,304"
Taare Zameen Par,165,Drama;Family,Amole Gupte;Aamir Khan,Amole Gupte,Darsheel Safary;Aamir Khan;Tisca Chopra,8.4,"131,312"
Lawrence of Arabia,216,Adventure;Biography;Drama,David Lean,Robert Bolt;T.E. Lawrence,Peter O'Toole;Alec Guinness;Anthony Quinn,8.3,"232,624"
Eternal Sunshine of the Spotless Mind,108,Drama;Romance;Sci-Fi,Michel Gondry,Charlie Kaufman;Michel Gondry,Jim Carrey;Kate Winslet;Tom Wilkinson,8.3,"793,798"
A Clockwork Orange,136,Crime;Drama;Sci-Fi,Stanley Kubrick,Anthony Burgess;Stanley Kubrick,Malcolm McDowell;Patrick Magee;Michael Bates,8.3,"662,962"
Amélie,122,Comedy;Romance,Jean-Pierre Jeunet,Jean-Pierre Jeunet;Guillaume Laurant,Audrey Tautou;Mathieu Kassovitz;Rufus,8.3,"630,693"
3 Idiots,170,Comedy;Drama,Rajkumar Hirani,Rajkumar Hirani;Abhijat Joshi,Aamir Khan;Madhavan;Mona Singh,8.4,"284,455"
Double Indemnity,107,Crime;Drama;Film-Noir,Billy Wilder,Raymond Chandler;Billy Wilder,Fred MacMurray;Barbara Stanwyck;Edward G. Robinson,8.3,"121,592"
2001: A Space Odyssey,149,Adventure;Sci-Fi,Stanley Kubrick,Arthur C. Clarke;Stanley Kubrick,Keir Dullea;Gary Lockwood;William Sylvester,8.3,"519,629"
Toy Story,81,Animation;Adventure;Comedy,John Lasseter,John Lasseter;Pete Docter,Tom Hanks;Tim Allen;Don Rickles,8.3,"757,029"
Taxi Driver,114,Crime;Drama,Martin Scorsese,Paul Schrader,Robert De Niro;Jodie Foster;Cybill Shepherd,8.3,"611,385"
Singin' in the Rain,103,Comedy;Musical;Romance,Stanley Donen;Gene Kelly,Adolph Green;Betty Comden,Gene Kelly;Donald O'Connor;Debbie Reynolds,8.3,"187,790"
Full Metal Jacket,116,Drama;War,Stanley Kubrick,Michael Herr;Stanley Kubrick,Matthew Modine;R. Lee Ermey;Vincent D'Onofrio,8.3,"585,159"
Inglourious Basterds,153,Adventure;Drama;War,Eli Roth;Quentin Tarantino,Quentin Tarantino,Brad Pitt;Diane Kruger;Eli Roth,8.3,"1,072,471"
To Kill a Mockingbird,129,Crime;Drama,Robert Mulligan,Harper Lee;Horton Foote,Gregory Peck;John Megna;Frank Overton,8.3,"262,143"
Ladri di biciclette,89,Drama,Vittorio De Sica,Luigi Bartolini;Cesare Zavattini,Lamberto Maggiorani;Enzo Staiola;Lianella Carell,8.3,"120,232"
The Kid,68,Comedy;Drama;Family,Charles Chaplin,Charles Chaplin,Charles Chaplin;Edna Purviance;Jackie Coogan,8.3,"90,919"
The Sting,129,Comedy;Crime;Drama,George Roy Hill,David S. Ward,Paul Newman;Robert Redford;Robert Shaw,8.3,"211,161"
Toy Story 3,103,Animation;Adventure;Comedy,Lee Unkrich,John Lasseter;Andrew Stanton,Tom Hanks;Tim Allen;Joan Cusack,8.3,"653,856"
Good Will Hunting,126,Drama;Romance,Gus Van Sant,Matt Damon;Ben Affleck,Robin Williams;Matt Damon;Ben Affleck,8.3,"735,625"
Jagten,115,Drama,Thomas Vinterberg,Tobias Lindholm;Thomas Vinterberg,Mads Mikkelsen;Thomas Bo Larsen;Annika Wedderkopp,8.3,"228,737"
Snatch,104,Comedy;Crime,Guy Ritchie,Guy Ritchie,Jason Statham;Brad Pitt;Benicio Del Toro,8.3,"696,331"
Monty Python and the Holy Grail,91,Adventure;Comedy;Fantasy,Terry Gilliam;Terry Jones,John Cleese;Graham Chapman,Graham Chapman;John Cleese;Eric Idle,8.3,"444,973"
Scarface,170,Crime;Drama,Brian De Palma,Oliver Stone,Al Pacino;Michelle Pfeiffer;Steven Bauer,8.3,"638,784"
Per qualche dollaro in più,132,Western,Sergio Leone,Sergio Leone;Fulvio Morsella,Clint Eastwood;Lee Van Cleef;Gian Maria Volontè,8.3,"195,817"
The Apartment,125,Comedy;Drama;Romance,Billy Wilder,Billy Wilder;I.A.L. Diamond,Jack Lemmon;Shirley MacLaine;Fred MacMurray,8.3,"136,589"
L.A. Confidential,138,Crime;Drama;Mystery,Curtis Hanson,Brian Helgeland;James Ellroy,Kevin Spacey;Russell Crowe;Guy Pearce,8.3,"478,807"
Metropolis,153,Drama;Sci-Fi,Fritz Lang,Thea von Harbou,Brigitte Helm;Alfred Abel;Gustav Fröhlich,8.3,"137,151"
Jodaeiye Nader az Simin,123,Crime;Drama;Family,Asghar Farhadi,Asghar Farhadi,Payman Maadi;Leila Hatami;Sareh Bayat,8.3,"187,441"
Indiana Jones and the Last Crusade,127,Action;Adventure;Fantasy,Steven Spielberg,Jeffrey Boam;George Lucas,Harrison Ford;Sean Connery;Alison Doody,8.3,"609,642"
Rashômon,88,Crime;Drama;Mystery,Akira Kurosawa,Akira Kurosawa;Ryûnosuke Akutagawa,Toshirô Mifune;Machiko Kyô;Masayuki Mori,8.3,"127,947"
Up,96,Animation;Adventure;Comedy,Bob Peterson;Pete Docter,Bob Peterson;Pete Docter,Edward Asner;Jordan Nagai;John Ratzenberger,8.3,"809,001"
All About Eve,138,Drama,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis;Anne Baxter;George Sanders,8.3,"103,010"
Yôjinbô,110,Action;Drama;Thriller,Akira Kurosawa,Akira Kurosawa,Toshirô Mifune;Eijirô Tôno;Tatsuya Nakadai,8.3,"92,561"
Batman Begins,140,Action;Adventure;Thriller,Christopher Nolan,Bob Kane;David S. Goyer,Christian Bale;Michael Caine;Ken Watanabe,8.3,"1,151,174"
Some Like It Hot,121,Comedy;Romance,Billy Wilder,Billy Wilder;I.A.L. Diamond,Marilyn Monroe;Tony Curtis;Jack Lemmon,8.3,"211,268"
Unforgiven,130,Drama;Western,Clint Eastwood,David Webb Peoples,Clint Eastwood;Gene Hackman;Morgan Freeman,8.2,"328,735"
Der Untergang,156,Biography;Drama;History,Oliver Hirschbiegel,Bernd Eichinger;Joachim Fest,Bruno Ganz;Alexandra Maria Lara;Ulrich Matthes,8.2,"294,369"
The Treasure of the Sierra Madre,126,Adventure;Drama;Western,John Huston,B. Traven;John Huston,Humphrey Bogart;Walter Huston;Tim Holt,8.3,"97,745"
Die Hard,132,Action;Thriller,John McTiernan,Jeb Stuart;Roderick Thorp,Bruce Willis;Alan Rickman;Bonnie Bedelia,8.2,"693,675"
Heat,170,Crime;Drama;Thriller,Michael Mann,Michael Mann,Al Pacino;Robert De Niro;Val Kilmer,8.2,"506,684"
Ikiru,143,Drama,Akira Kurosawa,Shinobu Hashimoto;Akira Kurosawa,Takashi Shimura;Nobuo Kaneko;Shin'ichi Himori,8.3,"55,735"
Raging Bull,129,Biography;Drama;Sport,Martin Scorsese,Jake LaMotta;Joseph Carter,Robert De Niro;Cathy Moriarty;Joe Pesci,8.2,"277,708"
Incendies,131,Drama;Mystery;War,Denis Villeneuve,Wajdi Mouawad;Denis Villeneuve,Lubna Azabal;Mélissa Désormeaux-Poulin;Maxim Gaudette,8.2,"116,065"
The Great Escape,172,Adventure;Drama;History,John Sturges,Paul Brickhill;James Clavell,Steve McQueen;James Garner;Richard Attenborough,8.2,"198,222"
Babam ve Oglum,108,Drama;Family,Çagan Irmak,Çagan Irmak,Çetin Tekindor;Fikret Kuskan;Hümeyra,8.4,"61,556"
Bacheha-Ye aseman,89,Drama;Family,Majid Majidi,Majid Majidi,Mohammad Amir Naji;Amir Farrokh Hashemian;Bahare Seddiqi,8.3,"47,623"
Pan's Labyrinth,118,Drama;Fantasy;War,Guillermo del Toro,Guillermo del Toro,Ivana Baquero;Ariadna Gil;Sergi López,8.2,"553,178"
Chinatown,130,Drama;Mystery;Thriller,Roman Polanski,Robert Towne,Jack Nicholson;Faye Dunaway;John Huston,8.2,"256,661"
The Third Man,104,Film-Noir;Mystery;Thriller,Carol Reed,Graham Greene,Orson Welles;Joseph Cotten;Alida Valli,8.2,"138,104"
Tonari no Totoro,86,Animation;Family;Fantasy,Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi;Noriko Hidaka;Chika Sakamoto,8.2,"226,240"
Ran,162,Action;Drama,Akira Kurosawa,Hideo Oguni;Akira Kurosawa,Tatsuya Nakadai;Akira Terao;Jinpachi Nezu,8.2,"95,681"
Hauru no ugoku shiro,119,Animation;Adventure;Family,Hayao Miyazaki,Diana Wynne Jones;Hayao Miyazaki,Chieko Baishô;Takuya Kimura;Tatsuya Gashûin,8.2,"269,697"
Oordeel te Neurenberg,186,Drama;War,Stanley Kramer,Abby Mann,Spencer Tracy;Burt Lancaster;Richard Widmark,8.2,"58,728"
El secreto de sus ojos,129,Drama;Mystery;Romance,Juan José Campanella,Juan José Campanella;Eduardo Sacheri,Ricardo Darín;Soledad Villamil;Pablo Rago,8.2,"166,028"
The Gold Rush,95,Adventure;Comedy;Drama,Charles Chaplin,Charles Chaplin,Charles Chaplin;Mack Swain;Tom Murray,8.2,"85,470"
The Bridge on the River Kwai,161,Adventure;Drama;War,David Lean,Carl Foreman;Pierre Boulle,William Holden;Alec Guinness;Jack Hawkins,8.2,"179,936"
"Three Billboards Outside Ebbing, Missouri",115,Comedy;Crime;Drama,Martin McDonagh,Martin McDonagh,Frances McDormand;Woody Harrelson;Sam Rockwell,8.2,"290,317"
A Beautiful Mind,135,Biography;Drama,Ron Howard,Sylvia Nasar;Akiva Goldsman,Russell Crowe;Ed Harris;Jennifer Connelly,8.2,"741,161"
"Lock, Stock and Two Smoking Barrels",107,Comedy;Crime,Guy Ritchie,Guy Ritchie,Jason Flemyng;Dexter Fletcher;Nick Moran,8.2,"479,033"
On the Waterfront,108,Crime;Drama;Thriller,Elia Kazan,Budd Schulberg,Marlon Brando;Karl Malden;Lee J. Cobb,8.2,"124,011"
Casino,178,Crime;Drama,Martin Scorsese,Nicholas Pileggi,Robert De Niro;Sharon Stone;Joe Pesci,8.2,"399,109"
Det sjunde inseglet,96,Drama;Fantasy,Ingmar Bergman,Ingmar Bergman,Max von Sydow;Gunnar Björnstrand;Bengt Ekerot,8.2,"137,349"
Bohemian Rhapsody,134,Biography;Drama;Music,Bryan Singer,Anthony McCarten;Peter Morgan,Rami Malek;Lucy Boynton;Gwilym Lee,8.4,"49,842"
Inside Out,95,Animation;Adventure;Comedy,Ronnie Del Carmen;Pete Docter,Ronnie Del Carmen;Pete Docter,Amy Poehler;Bill Hader;Lewis Black,8.2,"504,381"
The Elephant Man,124,Biography;Drama,David Lynch,Christopher De Vore;Eric Bergren,Anthony Hopkins;John Hurt;Anne Bancroft,8.2,"193,765"
Room,118,Drama;Thriller,Lenny Abrahamson,Emma Donoghue,Brie Larson;Jacob Tremblay;Sean Bridgers,8.2,"291,237"
Mr. Smith Goes to Washington,129,Comedy;Drama,Frank Capra,Sidney Buchman;Lewis R. Foster,James Stewart;Jean Arthur;Claude Rains,8.2,"94,681"
