title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Platoon,120,Drama;War,Oliver Stone,Oliver Stone,Charlie Sheen;Tom Berenger;Willem Dafoe,8.1,"341,157"
The Grand Budapest Hotel,99,Adventure;Comedy;Drama,Wes Anderson,Wes Anderson;Stefan Zweig,Ralph Fiennes;F. Murray Abraham;Mathieu Amalric,8.1,"606,492"
Stand by Me,89,Adventure;Drama,Rob Reiner,Raynold Gideon;Stephen King,Wil Wheaton;River Phoenix;Corey Feldman,8.1,"323,456"
The Truman Show,103,Comedy;Drama;Sci-Fi,Peter Weir,Andrew Niccol,Jim Carrey;Ed Harris;Laura Linney,8.1,"804,164"
Network,121,Drama,Sidney Lumet,Paddy Chayefsky,Faye Dunaway;William Holden;Peter Finch,8.1,"126,393"
Stalker,162,Drama;Sci-Fi,Andrei Tarkovsky,Arkadiy Strugatskiy;Boris Strugatskiy,Alisa Freyndlikh;Aleksandr Kaydanovskiy;Anatoliy Solonitsyn,8.1,"92,640"
Hotel Rwanda,121,Biography;Drama;History,Terry George,Terry George;Keir Pearson,Don Cheadle;Sophie Okonedo;Joaquin Phoenix,8.1,"305,543"
Ben Hur,212,Adventure;Drama;History,William Wyler,Lew Wallace;Karl Tunberg,Charlton Heston;Jack Hawkins;Stephen Boyd,8.1,"195,007"
Persona,85,Drama;Thriller,Ingmar Bergman,Ingmar Bergman,Bibi Andersson;Liv Ullmann;Margaretha Krook,8.1,"82,376"
Salinui chueok,131,Action;Crime;Drama,Joon-ho Bong,Kwang-rim Kim;Joon-ho Bong,Kang-ho Song;Sang-kyung Kim;Roe-ha Kim,8.1,"94,472"
12 Years a Slave,134,Biography;Drama;History,Steve McQueen,John Ridley;Solomon Northup,Chiwetel Ejiofor;Michael Kenneth Williams;Michael Fassbender,8.1,"553,851"
Andrei Rublev,205,Biography;Drama;History,Andrei Tarkovsky,Andrei Tarkovsky;Andrey Konchalovskiy,Anatoliy Solonitsyn;Ivan Lapikov;Nikolay Grinko,8.2,"36,416"
